id,saleprice
2658,134725.94786050054
2718,173627.20002507165
2414,216477.83477454685
1989,119797.96435744356
625,202912.67520554076
333,75935.95205107077
1327,104124.90651109187
858,136599.5637570071
95,182495.68193080506
1568,179662.2596661759
2482,154049.91469400516
1364,141098.0071337103
2584,156360.02018119843
818,294318.65905494324
2673,168256.01410171785
2089,141969.77696820314
1297,149364.88644166503
790,119884.29036324304
2616,226607.85643658153
720,206540.12062446712
222,144972.78646058697
557,129167.06196030614
1148,187326.04618100083
2766,166845.91014933318
534,194236.91239013037
1452,112193.11608323631
630,128355.68899843901
2648,128176.43967265563
125,156454.44182945392
1904,19685.15942091489
1670,92885.2796482966
756,93125.48922909172
717,245405.09212761442
1032,158654.26157280727
852,227597.70840650136
1731,194481.3185141458
2639,117598.25551311445
2071,83918.76499031947
1267,117857.95278818533
1851,196957.596854638
567,149476.09276083278
2439,217969.01062281433
1898,160174.99636439464
647,162693.0219782904
2256,224199.56465888215
979,91454.93788277949
1444,229127.48757880524
2485,129104.9553953959
157,132897.95239491778
88,126457.01599296274
2003,107838.89066928493
186,225625.09293183917
1425,257147.58270983142
2695,122368.27612071912
738,111861.03007370423
395,166168.51766151184
1353,179186.47684982826
1878,155364.33656803193
390,186445.6744395188
1456,239316.10747049624
1103,306869.08563288755
1387,117571.17943651273
2070,162494.4063457809
1199,191140.05826108545
2479,174155.673262611
501,303928.7307600407
2362,82731.04848931196
1718,194403.4698083171
2188,60342.10075711306
1483,161749.7129947135
2557,76761.43704122995
437,310249.7077892976
2224,209667.6582220127
1628,191271.88528314314
397,136325.27849907553
587,209096.8836286962
971,175984.01662986656
2611,159196.43598541993
1887,85767.20624030824
2399,325997.5472582693
2148,212886.41694720654
304,142770.49248567084
1997,132050.92425791966
2817,117595.02554826737
1431,194272.21596122722
427,292156.05228450947
263,128523.82077485338
598,186481.70871358554
2895,261283.70937471086
687,167572.75528043587
1822,134705.40621972087
2191,103688.89249517868
179,138743.58344314224
1009,211732.2899839615
2010,120118.45838234483
1991,147625.10657563002
1411,192039.28244236822
1721,228244.72396187892
1144,193365.60023411867
593,231573.74303577264
575,280465.3217572211
1249,183039.4248350243
1604,133783.53025869626
1064,403617.9426858845
1923,159191.21372331673
1988,99284.41356987575
2325,180641.30356130912
114,200857.5362582285
2700,180016.2942537702
217,143703.61511316334
343,206211.73157444902
386,234228.0479563717
2005,111999.75872101203
2908,132426.8966105897
1814,236774.38628036028
2446,448182.07410918
208,143706.2649579661
1679,120626.39606007571
822,311903.90635726607
6,192703.86986680373
1781,360896.07600061584
2397,282167.5664600867
2340,281708.10252279934
1618,170638.6143528072
2843,133988.01830479456
1061,330615.6949793297
2786,110913.32825588019
1935,135494.8454497523
1341,123238.53013543507
521,276061.52521562116
2136,134897.92861538567
996,204965.42356659198
227,147935.45891367906
135,164642.81672136486
1167,177108.35979041466
294,233789.16367846885
1776,200505.4072939146
540,192905.12182359945
1717,192670.1124689701
2303,127939.70801607092
116,195611.06970644995
127,132168.76911116892
1371,140468.54195837444
1014,174271.96673676991
1507,106998.9668375218
702,155022.73015579555
750,152594.93706126662
261,150716.24528436104
1559,58091.46280185621
577,213895.89347341936
2812,205028.67144147452
2080,155937.01527471546
1368,130083.80967804404
2376,122832.4170865991
659,105246.41171993522
1235,131895.54274302354
332,62584.55242886726
1917,150927.93275930855
2094,240833.2082823662
1460,279613.080401166
1471,217370.28820056
1509,122245.27098943116
1922,133437.33508764775
433,408404.20273446676
460,258028.23335129034
1116,262905.1731686281
1137,186069.71848297174
53,176253.66680539268
2354,250040.90838337503
1475,204236.16045840143
1761,400417.8738008273
842,149161.09700790065
2739,162577.84945993085
2509,162645.91154239315
1007,207444.42280278297
2610,188656.9499466046
1952,74632.70091847914
2719,178894.59111384716
2921,76000.47740864451
1966,135710.36620454217
292,127681.73509786495
1204,220399.75307892397
1829,247754.36037004134
2419,196081.33030055623
391,173065.05177080975
798,124803.69772772116
481,212895.3973436575
193,202098.14714022225
555,124147.09562291796
899,63548.12457518141
2357,211482.25517522232
328,128104.04817710168
1356,135042.58799867425
1154,100300.7111039832
1730,180215.5972348216
2249,166118.8210616014
1119,277489.0031065984
2856,131349.3381436364
1394,135764.75010419363
2587,118994.19173790407
61,298382.2002630602
2661,199737.9513628596
2711,120956.63108385177
1147,186854.6570945312
757,138414.30461709033
2623,83181.61338321424
2378,147700.0962130037
1413,155289.26637327243
1722,220423.69876395306
1112,215766.39659856993
1623,205425.35887327912
1201,194403.6789089752
1513,103405.33620042924
957,363255.3663546697
1171,265630.1880533744
1145,202994.8873935651
2726,238336.73743796273
703,167948.15150110726
760,81848.35214861306
1964,136561.73908073184
2512,193652.61656145312
159,163262.69307044658
1281,195666.81676351666
468,180277.43071471414
290,142421.06353161414
665,100098.400824828
1463,258791.3884245912
1792,224946.14336436673
923,145013.0993549603
500,277684.00318341807
1408,168984.28167095312
331,52698.80750127275
170,148037.4649661262
2192,83141.54454241184
2571,258097.21111644962
2314,182701.27635023146
2647,85425.08922167803
422,374312.14682260057
2457,311776.85462857207
1838,189055.39656976683
