id,saleprice
2658,135094.15916130814
2718,155752.8320802471
2414,195510.3235206211
1989,108061.96918931942
625,169990.20743319936
333,92716.94211858441
1327,110582.093372891
858,151473.3166540978
95,184271.3239932312
1568,169162.77496799402
2482,153898.774230803
1364,113097.26142593389
2584,143506.68434541012
818,269484.5673587368
2673,157311.4349042927
2089,118328.65996167522
1297,134706.822451388
790,111166.56440146538
2616,199647.4435629552
720,177752.75789074827
222,149263.3815519978
557,127967.75186569219
1148,188865.53919646097
2766,181320.72010229138
534,176118.50827208319
1452,124306.04131028563
630,122818.07199707735
2648,127558.88581374813
125,153524.54704154597
1904,72727.89373399228
1670,117863.67005197617
756,92419.35425683028
717,219289.50107730323
1032,160282.87408677768
852,205481.06726191269
1731,174932.0206521494
2639,117990.16472486674
2071,97891.39761823376
1267,116253.54885740232
1851,195213.92657200558
567,155055.9260664984
2439,203631.58057625633
1898,149767.59560446185
647,164885.13909873192
2256,216595.87163637165
979,98949.7331409146
1444,213732.36943268953
2485,123025.4183081669
157,127929.28383785092
88,127621.96149825038
2003,107059.4138560957
186,187143.27285889263
1425,233192.00019822016
2695,117246.8151322176
738,102845.49030340338
395,153143.60333009253
1353,158198.86824229264
1878,147053.6737992572
390,162883.74972339228
1456,227690.0019070694
1103,331735.8963479649
1387,119994.11504561915
2070,150002.31337669474
1199,175623.50502128404
2479,169574.10017748992
501,296723.45293383347
2362,106804.78795098457
1718,205420.3593370585
2188,89559.4904115347
1483,151097.7300629279
2557,88421.90169005883
437,372273.1314363023
2224,221697.8797546569
1628,168857.3554248589
397,137957.836528949
587,193815.15321294172
971,137077.3259942134
2611,142000.17307137107
1887,108803.02605719457
2399,370607.81630113436
2148,197070.35889089276
304,108192.31263585995
1997,127661.56137779487
2817,118619.89858289482
1431,197227.35319087046
427,367700.6662942654
263,128490.98846009241
598,174300.52022549603
2895,224062.7374829485
687,149928.35483972053
1822,137704.21390702686
2191,112063.75663593804
179,117582.05359068916
1009,193929.63808217316
2010,128573.40788585889
1991,136528.6626740325
1411,198228.54824280186
1721,225046.86082284953
1144,186374.1915553341
593,205466.46238707902
575,230640.4179456013
1249,166637.20267614172
1604,131060.50648354643
1064,595789.3026179783
1923,153353.44171941755
1988,107796.5976370956
2325,169802.01762432526
114,197969.28898158026
2700,161906.2058433291
217,142723.24784362153
343,174669.34185179987
386,231768.80841136014
2005,118528.50175064887
2908,140707.19536519021
1814,224598.27331914988
2446,562455.2009500898
208,141375.56896611417
1679,105761.33865490837
822,319201.553432773
6,189338.27103926436
1781,432300.92538555537
2397,280879.30349691404
2340,271365.15396831953
1618,166306.35007172325
2843,129213.86170865332
1061,380369.95248165133
2786,123211.44109083177
1935,136163.41608316955
1341,124497.40198340802
521,263874.8655266769
2136,140254.7508705317
996,195124.85011526386
227,149493.83477718613
135,172480.29511700253
1167,172876.58208403725
294,245333.17678848593
1776,203313.18630943957
540,170402.78612116099
1717,202688.9691648992
2303,129786.88760650942
116,182652.1484004433
127,136699.4016296542
1371,121064.78437241189
1014,142366.8157415065
1507,104840.74357772221
702,131018.35387693693
750,137690.4731921251
261,153890.95336803133
1559,75847.30627847121
577,217386.90226511168
2812,195953.19535597114
2080,139764.54457008245
1368,115169.2313152377
2376,132144.47130919318
659,107700.40987445672
1235,137400.7117531461
332,80984.68922940824
1917,143954.60001496944
2094,232694.53562019512
1460,254941.86680432005
1471,205500.55762987895
1509,113391.85747203004
1922,137800.561287758
433,617634.1835972007
460,266116.8637885398
1116,243961.7914470284
1137,172712.85816445583
53,167473.2526385051
2354,273145.24928522774
1475,191027.99918244165
1761,704354.1181006338
842,146013.59360933962
2739,163495.50504502907
2509,158462.25761152696
1007,194077.53536610998
2610,178451.89478902458
1952,93501.7444046084
2719,158258.21823929145
2921,89899.08245939678
1966,135132.1342555543
292,103352.95517728452
1204,188098.69232098554
1829,256660.2030736155
2419,178093.53468603088
391,151038.56102282836
798,103585.30342740788
481,192217.67423321382
193,203710.56793383008
555,124579.7273927856
899,70128.45839225937
2357,180383.7343829133
328,112072.39525053505
1356,113497.1352162061
1154,112733.74374345766
1730,173695.84701488385
2249,154331.79173129774
1119,268574.8300840276
2856,135676.38979627177
1394,143869.25838951155
2587,128701.50077620264
61,321386.9747456784
2661,177255.79499058967
2711,134986.96412639515
1147,179364.90849408938
757,127757.6249430655
2623,97216.95869069152
2378,139551.07776576944
1413,138462.33972145763
1722,208951.46214602186
1112,228606.66350893813
1623,195082.77149852493
1201,186014.7585165106
1513,112740.48796991217
957,270615.2247909365
1171,269744.00746191666
1145,190345.16510535276
2726,254850.81075499265
703,142337.73419916662
760,94322.46768456833
1964,139949.0546818844
2512,179055.52372484002
159,144772.05575995424
1281,163382.4308949288
468,175922.86431537647
290,122315.09515226887
665,102956.16013502656
1463,253733.6717096228
1792,229904.3457477554
923,150319.01608857734
500,266076.570854966
1408,153238.31051586854
331,81411.86461474624
170,115064.7659823579
2192,97072.08642158563
2571,273091.2950138391
2314,172700.6000644677
2647,98748.71723737534
422,492473.8178491922
2457,389168.8108118353
1838,192315.91791006926
2805,237036.01327732624
1645,159469.53751924765
1711,310391.0326100014
2825,225497.0756543618
