id,saleprice
2658,122759.65160321002
2718,154327.4254258803
2414,214516.23791978427
1989,114953.21457591972
625,192062.10727303295
333,83980.68904314713
1327,105735.16022625379
858,144409.13066610263
95,174269.74062087754
1568,182700.59220862886
2482,143721.3186552686
1364,127618.6328022329
2584,142016.93205208125
818,281534.9218869931
2673,154516.77395395367
2089,134153.88751256626
1297,131917.1686269191
790,111068.33494298073
2616,219629.99483735795
720,186000.63721611816
222,159818.9631935267
557,130305.9238855995
1148,176962.8857322819
2766,169746.13013332538
534,181533.5679092724
1452,119401.96180992454
630,120618.08171651789
2648,142416.85268564612
125,152324.83094834938
1904,47134.77815705273
1670,99702.68481198639
756,94484.75748488269
717,216330.86533047113
1032,159957.0339731857
852,215184.4623536628
1731,178783.18971665978
2639,123048.59452247349
2071,102810.83496795766
1267,132842.19107423243
1851,197201.9466442077
567,155654.43224517448
2439,211851.9521030339
1898,156278.64768529637
647,171250.60857516708
2256,214843.1933021466
979,93605.32823554646
1444,218309.74356034448
2485,131285.16808837064
157,137994.08061145883
88,128629.93463414421
2003,105297.56785435065
186,203028.90458339782
1425,231160.73288162283
2695,122498.07603320894
738,100778.92256714296
395,168544.26944644673
1353,166876.49980539654
1878,151510.73788588436
390,166324.9524205992
1456,231163.83028171904
1103,307612.42238219985
1387,98430.3749197677
2070,155231.18835398904
1199,170138.55661783376
2479,173585.86380762173
501,312063.7891115432
2362,90663.79377676507
1718,216405.41136382514
2188,72266.26083642969
1483,154317.04248401726
2557,82191.92435968739
437,355075.7817504997
2224,215997.95637889742
1628,188023.61058993154
397,142788.4571375975
587,182270.89531249282
971,163408.12634405418
2611,143024.52401301858
1887,94854.74442813714
2399,385654.6589931328
2148,201530.33812900676
304,123921.57653539086
1997,128421.84423874193
2817,111950.75482174852
1431,206256.44852337174
427,357368.4902411015
263,134398.3533511647
598,161113.0466580782
2895,240576.38137326523
687,148931.48543815606
1822,139441.61692090885
2191,97661.48438493849
179,128603.93681214294
1009,250916.30270602828
2010,126597.58154479082
1991,140811.70562064464
1411,198344.82793367776
1721,233161.026761228
1144,192172.41015837714
593,216086.20487327393
575,345989.0146755282
